time,mos,flwid,upstream_bytes,downstream_bytes,protocol,src_port,dst_port,application_type,upstream_packets,downstream_packets,local_ping,server_ping
2022-09-10 08:22:47,"4.4184 
",137207,324562,412121,UDP,59702,3480,VOIP,2990,2562,0.665
2022-09-10 08:22:58,"4.49086 
",137207,379917,487238,UDP,59702,3480,VOIP,3501,3022,0.652
2022-09-10 08:22:46,"4.4184 
",137207,313531,396705,UDP,59702,3480,VOIP,2888,2468,0.659,154.000
2022-09-10 08:22:57,"4.49086 
",137207,374264,481061,UDP,59702,3480,VOIP,3449,2984,0.684,83.500
2022-09-10 08:22:45,"4.46874 
",137207,308146,389210,UDP,59702,3480,VOIP,2838,2422,0.676,58.800
2022-09-10 08:22:56,"4.49086 
",137207,368802,472704,UDP,59702,3480,VOIP,3398,2933,0.706,35.600
2022-09-10 08:22:44,"4.46874 
",137207,302663,381717,UDP,59702,3480,VOIP,2787,2376,1.870,64.300
2022-09-10 08:22:55,"4.4184 
",137207,363263,465757,UDP,59702,3480,VOIP,3347,2891,0.653,54.300
2022-09-10 08:22:43,"4.46874 
",137207,297135,373027,UDP,59702,3480,VOIP,2736,2323,0.693,63.800
2022-09-10 08:22:54,"4.4184 
",137207,357823,458044,UDP,59702,3480,VOIP,3297,2843,0.502,154.000
2022-09-10 08:22:42,"4.46874 
",137207,291763,365362,UDP,59702,3480,VOIP,2686,2276,0.775,165.000
2022-09-10 08:22:41,"4.46874 
",137207,286249,359145,UDP,59702,3480,VOIP,2635,2238,0.759,25.900
2022-09-10 08:22:53,"4.4184 
",137207,352057,450045,UDP,59702,3480,VOIP,3244,2794,0.657
2022-09-10 08:22:40,"4.46874 
",137207,280789,351440,UDP,59702,3480,VOIP,2584,2191,0.767,125.000
2022-09-10 08:22:52,"4.4184 
",137207,346768,442527,UDP,59702,3480,VOIP,3195,2748,0.738,53.100
2022-09-10 08:22:51,"4.4184 
",137207,341068,434621,UDP,59702,3480,VOIP,3142,2700,0.618,74.400
2022-09-10 08:22:39,"4.46874 
",137207,275084,344342,UDP,59702,3480,VOIP,2532,2148,0.745,40.800
2022-09-10 08:22:50,"4.4184 
",137207,335678,427036,UDP,59702,3480,VOIP,3092,2654,0.672,66.700
2022-09-10 08:22:36,"4.46874 
",137207,258613,321921,UDP,59702,3480,VOIP,2379,2011,0.695,65.100
2022-09-10 08:22:35,"4.43747 
",137207,253218,314108,UDP,59702,3480,VOIP,2329,1963,0.750,51.500
2022-09-10 08:22:34,"4.43747 
",137207,247557,307115,UDP,59702,3480,VOIP,2277,1920,0.727,113.000
2022-09-10 08:22:38,"4.46874 
",137207,269718,337198,UDP,59702,3480,VOIP,2482,2104,0.653,105.000
2022-09-10 08:22:37,"4.46874 
",137207,264236,329672,UDP,59702,3480,VOIP,2431,2058,0.762,65.200
2022-09-10 08:22:32,"4.43747 
",137207,236474,292085,UDP,59702,3480,VOIP,2174,1828,0.689,146.000
2022-09-10 08:22:33,"4.43747 
",137207,242096,299434,UDP,59702,3480,VOIP,2226,1873,0.679,158.000
2022-09-10 08:22:31,"4.43747 
",137207,231095,285021,UDP,59702,3480,VOIP,2124,1785,0.627,78.000
2022-09-10 08:22:30,"4.43747 
",137207,225703,278136,UDP,59702,3480,VOIP,2074,1743,0.724,156.000
2022-09-10 08:22:29,"4.43747 
",137207,220159,270294,UDP,59702,3480,VOIP,2023,1695,0.762,60.400
2022-09-10 08:22:28,"4.43747 
",137207,214499,262208,UDP,59702,3480,VOIP,1971,1645,0.653,96.000
2022-09-10 08:22:27,"4.43747 
",137207,209120,254470,UDP,59702,3480,VOIP,1921,1598,0.680,76.300
2022-09-10 08:22:26,"4.43747 
",137207,203634,247435,UDP,59702,3480,VOIP,1870,1555,0.749,65.900
2022-09-10 08:22:25,"4.38242 
",137207,198250,239027,UDP,59702,3480,VOIP,1820,1504,0.624,141.000
2022-09-10 08:22:24,"4.38242 
",137207,192861,231536,UDP,59702,3480,VOIP,1770,1458,0.699,89.000
2022-09-10 08:22:23,"4.38242 
",137207,187212,224385,UDP,59702,3480,VOIP,1718,1414,0.639,19.100
2022-09-10 08:22:22,"4.38242 
",137207,181810,217172,UDP,59702,3480,VOIP,1668,1370,0.586,19.100
2022-09-10 08:22:21,"4.38242 
",137207,176302,210431,UDP,59702,3480,VOIP,1617,1329,0.735,154.000
2022-09-10 08:22:20,"4.38242 
",137207,170838,202641,UDP,59702,3480,VOIP,1566,1282,0.667,47.700
2022-09-10 08:22:19,"4.38242 
",137207,165219,194963,UDP,59702,3480,VOIP,1514,1235,0.584,51.800
2022-09-10 08:22:17,"4.38242 
",137207,154211,179552,UDP,59702,3480,VOIP,1413,1141,0.729,150.000
2022-09-10 08:22:16,"4.38242 
",137207,148746,172512,UDP,59702,3480,VOIP,1363,1098,0.689,149.000
2022-09-10 08:23:05,"4.49086 
",137207,418340,540315,UDP,59702,3480,VOIP,3856,3346,0.628,129.000
2022-09-10 08:23:04,"4.49086 
",137207,412839,533182,UDP,59702,3480,VOIP,3805,3303,0.679,159.000
2022-09-10 08:23:03,"4.49086 
",137207,407456,525799,UDP,59702,3480,VOIP,3755,3258,0.637,110.000
2022-09-10 08:23:02,"4.49086 
",137207,401927,517669,UDP,59702,3480,VOIP,3704,3208,0.594,39.800
2022-09-10 08:23:01,"4.49086 
",137207,396117,509768,UDP,59702,3480,VOIP,3651,3160,0.550
2022-09-10 08:23:00,"4.49086 
",137207,390725,502302,UDP,59702,3480,VOIP,3601,3114,0.611,97.500
2022-09-09 16:24:00,"1 
",136286,0,0,UDP,49456,3478,VOIP,0,0,0.750,16.900
2022-09-09 16:24:00,"1 
",136286,0,0,UDP,49456,3478,VOIP,0,0,0.750,16.900
2022-09-09 16:24:00,"1 
",136286,0,0,UDP,49456,3478,VOIP,0,0,0.750,16.900
2022-09-09 16:24:00,"1 
",136286,0,0,UDP,49456,3478,VOIP,0,0,0.750,16.900
2022-09-09 16:23:59,"1 
",136286,0,0,UDP,49456,3478,VOIP,0,0,0.938
2022-09-09 16:23:58,"1 
",136286,0,0,UDP,49456,3478,VOIP,0,0,0.776,32.600
2022-09-09 16:23:57,"1 
",136286,0,0,UDP,49456,3478,VOIP,0,0,0.727
2022-09-09 16:23:49,"1 
",136286,0,0,UDP,49456,3478,VOIP,0,0,0.721,59.300
2022-09-09 16:23:48,"1 
",136286,0,0,UDP,49456,3478,VOIP,0,0,0.834,27.600
2022-09-09 16:23:56,"1 
",136286,0,0,UDP,49456,3478,VOIP,0,0,0.626
2022-09-09 16:23:47,"1 
",136286,0,0,UDP,49456,3478,VOIP,0,0,0.916,67.000
2022-09-09 16:23:46,"1 
",136286,0,0,UDP,49456,3478,VOIP,0,0,0.830
2022-09-09 16:23:45,"1 
",136286,0,0,UDP,49456,3478,VOIP,0,0,0.717,16.600
2022-09-09 16:23:55,"1 
",136286,0,0,UDP,49456,3478,VOIP,0,0,0.682,52.100
2022-09-09 16:23:44,"1 
",136286,0,0,UDP,49456,3478,VOIP,0,0,0.926,17.000
2022-09-09 16:23:54,"1 
",136286,0,0,UDP,49456,3478,VOIP,0,0,0.687
2022-09-09 16:23:43,"1 
",136286,0,0,UDP,49456,3478,VOIP,0,0,0.793,16.700
2022-09-09 16:23:42,"1 
",136286,0,0,UDP,49456,3478,VOIP,0,0,0.770,16.600
2022-09-09 16:23:41,"1 
",136286,0,0,UDP,49456,3478,VOIP,0,0,0.832,16.700
2022-09-09 16:23:53,"1 
",136286,0,0,UDP,49456,3478,VOIP,0,0,0.751,16.700
2022-09-09 16:23:40,"3.01051 
",136286,0,0,UDP,49456,3478,VOIP,0,0,0.909,27.900
2022-09-09 16:23:39,"3.01051 
",136286,0,0,UDP,49456,3478,VOIP,0,0,0.859
2022-09-09 16:23:38,"3.01051 
",136286,0,0,UDP,49456,3478,VOIP,0,0,0.817
2022-09-09 16:23:52,"1 
",136286,0,0,UDP,49456,3478,VOIP,0,0,0.987
2022-09-09 16:23:37,"3.01051 
",136286,0,0,UDP,49456,3478,VOIP,0,0,0.841,50.800
2022-09-09 16:23:36,"3.01051 
",136286,0,0,UDP,49456,3478,VOIP,0,0,0.758
2022-09-09 16:23:50,"1 
",136286,0,0,UDP,49456,3478,VOIP,0,0,0.992
2022-09-09 16:23:50,"1 
",136286,0,0,UDP,49456,3478,VOIP,0,0,0.992
2022-09-09 16:23:50,"1 
",136286,0,0,UDP,49456,3478,VOIP,0,0,0.992
2022-09-09 16:23:50,"1 
",136286,0,0,UDP,49456,3478,VOIP,0,0,0.992
2022-09-09 16:23:32,"3.01051 
",136286,0,0,UDP,49456,3478,VOIP,0,0,0.808,16.800
2022-09-09 16:23:31,"3.01051 
",136286,0,0,UDP,49456,3478,VOIP,0,0,0.761,16.600
2022-09-09 16:23:35,"3.01051 
",136286,0,0,UDP,49456,3478,VOIP,0,0,0.621,36.900
2022-09-09 16:23:34,"3.01051 
",136286,0,0,UDP,49456,3478,VOIP,0,0,0.587
2022-09-09 16:23:33,"3.01051 
",136286,0,0,UDP,49456,3478,VOIP,0,0,0.624,16.700
2022-09-09 16:23:56,"1 
",136287,0,0,UDP,56932,3478,VOIP,0,0,0.626
2022-09-09 16:23:55,"1 
",136287,0,0,UDP,56932,3478,VOIP,0,0,0.682,52.100
2022-09-09 16:23:54,"1 
",136287,0,0,UDP,56932,3478,VOIP,0,0,0.687
2022-09-09 16:23:53,"1 
",136287,0,0,UDP,56932,3478,VOIP,0,0,0.751,16.700
2022-09-09 16:23:52,"1 
",136287,0,0,UDP,56932,3478,VOIP,0,0,0.987
2022-09-09 16:23:50,"1 
",136287,0,0,UDP,56932,3478,VOIP,0,0,0.992
2022-09-09 16:23:50,"1 
",136287,0,0,UDP,56932,3478,VOIP,0,0,0.992
2022-09-09 16:23:50,"1 
",136287,0,0,UDP,56932,3478,VOIP,0,0,0.992
2022-09-09 16:23:50,"1 
",136287,0,0,UDP,56932,3478,VOIP,0,0,0.992
2022-09-09 16:24:00,"1 
",136287,0,0,UDP,56932,3478,VOIP,0,0,0.750,16.900
2022-09-09 16:24:00,"1 
",136287,0,0,UDP,56932,3478,VOIP,0,0,0.750,16.900
2022-09-09 16:23:49,"1 
",136287,0,0,UDP,56932,3478,VOIP,0,0,0.721,59.300
2022-09-09 16:23:48,"1 
",136287,0,0,UDP,56932,3478,VOIP,0,0,0.834,27.600
2022-09-09 16:23:47,"1 
",136287,0,0,UDP,56932,3478,VOIP,0,0,0.916,67.000
2022-09-09 16:23:46,"1 
",136287,0,0,UDP,56932,3478,VOIP,0,0,0.830
2022-09-09 16:24:00,"1 
",136287,0,0,UDP,56932,3478,VOIP,0,0,0.750,16.900
2022-09-09 16:24:00,"1 
",136287,0,0,UDP,56932,3478,VOIP,0,0,0.750,16.900
2022-09-09 16:23:45,"1 
",136287,0,0,UDP,56932,3478,VOIP,0,0,0.717,16.600
2022-09-09 16:23:59,"1 
",136287,0,0,UDP,56932,3478,VOIP,0,0,0.938
2022-09-09 16:23:44,"1 
",136287,0,0,UDP,56932,3478,VOIP,0,0,0.926,17.000
2022-09-09 16:23:43,"1 
",136287,0,0,UDP,56932,3478,VOIP,0,0,0.793,16.700
2022-09-09 16:23:58,"1 
",136287,0,0,UDP,56932,3478,VOIP,0,0,0.776,32.600
2022-09-09 16:23:42,"1 
",136287,0,0,UDP,56932,3478,VOIP,0,0,0.770,16.600
2022-09-09 16:23:41,"1 
",136287,0,0,UDP,56932,3478,VOIP,0,0,0.832,16.700
2022-09-09 16:23:57,"1 
",136287,0,0,UDP,56932,3478,VOIP,0,0,0.727
2022-09-09 16:23:40,"3.01051 
",136287,0,0,UDP,56932,3478,VOIP,0,0,0.909,27.900
2022-09-09 16:23:39,"3.01051 
",136287,0,0,UDP,56932,3478,VOIP,0,0,0.859
2022-09-09 16:23:33,"3.01051 
",136287,0,0,UDP,56932,3478,VOIP,0,0,0.624,16.700
2022-09-09 16:23:38,"3.01051 
",136287,0,0,UDP,56932,3478,VOIP,0,0,0.817
2022-09-09 16:23:37,"3.01051 
",136287,0,0,UDP,56932,3478,VOIP,0,0,0.841,50.800
2022-09-09 16:23:36,"3.01051 
",136287,0,0,UDP,56932,3478,VOIP,0,0,0.758
2022-09-09 16:23:35,"3.01051 
",136287,0,0,UDP,56932,3478,VOIP,0,0,0.621,36.900
2022-09-09 16:23:32,"3.01051 
",136287,0,0,UDP,56932,3478,VOIP,0,0,0.808,16.800
2022-09-09 16:23:31,"3.01051 
",136287,0,0,UDP,56932,3478,VOIP,0,0,0.761,16.600
2022-09-09 16:23:34,"3.01051 
",136287,0,0,UDP,56932,3478,VOIP,0,0,0.587
2022-09-09 16:07:05,"4.32705 
",136148,0,0,UDP,40049,3478,VOIP,0,0,0.689,68.200
2022-09-09 16:07:06,"4.32705 
",136148,0,0,UDP,40049,3478,VOIP,0,0,0.582,16.400
2022-09-09 16:07:06,"4.32705 
",136156,414,0,UDP,53910,3478,VOIP,3,0,0.582,16.400
2022-09-09 16:07:06,"4.32705 
",136156,414,0,UDP,53910,3478,VOIP,3,0,0.582,16.400
2022-09-09 16:07:08,"4.32705 
",136156,414,0,UDP,53910,3478,VOIP,3,0,0.923,76.300
2022-09-09 16:07:05,"4.32705 
",136156,414,0,UDP,53910,3478,VOIP,3,0,0.689,68.200
2022-09-09 16:07:07,"4.32705 
",136156,414,0,UDP,53910,3478,VOIP,3,0,0.750,59.500
2022-09-09 16:07:06,"4.32705 
",136156,414,0,UDP,53910,3478,VOIP,3,0,0.582,16.400
